new_es_symbol,es_symbol,es_name,stage,qa_approved
F035XF602AZ,F035XF602AZ,"Clay Loam Upland 13-17"" p.z.(PIED, JUOS)",Provisional,yes
F035XF611AZ,F035XF611AZ,"Clay Loam Upland 13-17"" p.z.Gravelly (PIED, JUOS)",Provisional,yes
F035XF613AZ,F035XF613AZ,"Limestone Hills 13-17"" p.z.(PIED, JUOS)",Provisional,yes
F035XF619AZ,F035XF619AZ,"Limestone Upland 13-17"" p.z.(JUOS, PIED)",Provisional,yes
F035XF624AZ,F035XF624AZ,"Basalt Slopes 13-17"" p.z.(JUOS, PIED)",Provisional,yes
F035XF625AZ,F035XF625AZ,"Loamy Upland (PIED, JUOS) 13-17"" p.z. (Provisional)",Provisional,yes
F035XF627AZ,F035XF627AZ,"Sandstone Upland (JUOS, PIED) 13-17"" p.z. (Provisional)",Provisional,yes
F035XF628AZ,F035XF628AZ,"Sandy Loam Upland (JUOS, PIED) 13-17"" p.z.",Provisional,yes
F035XF629AZ,F035XF629AZ,"Sandstone Hills 13-17"" p.z.(PIED)",Provisional,yes
F035XF630AZ,F035XF630AZ,"Clay Loam Upland 13-17"" p.z.(PIED)",Provisional,yes
F035XF633AZ,F035XF633AZ,"Colluvial Slopes 13-17"" p.z.(PIED)",Provisional,yes
F035XF637AZ,F035XF637AZ,"Loamy Bottom 13-17"" p.z.",Provisional,yes
F035XG001NM,F035XG001NM,Twoneedle Pinyon/Oneseed Juniper Woodland - Zuni 13 to 17 inches,Provisional,yes
F035XG002NM,F035XG002NM,Western Plateau Zuni Reservation 13 to 16 inches,Provisional,yes
F035XG003NM,F035XG003NM,Pinyon Juniper - Breaks/Hills 12 to 15 inches,Provisional,yes
F035XG004NM,F035XG004NM,Hills or Elevated Plains 12 to 15 inches,Provisional,yes
F035XG005NM,F035XG005NM,Woodland Uplands Transition 16-35,Provisional,yes
F035XG006NM,F035XG006NM,Basalt Hills and Mesas 16-35 inches,Provisional,yes
F035XG134NM,F035XG134NM,Gravelly - Woodland ,Provisional,yes
F035XG135NM,F035XG135NM,Steep Gravelly - Woodland ,Provisional,yes
F035XH005NM,F035XH005NM,Pseudotsuga menziesii-Pinus ponderosa/Symphoricarpos albus ,Provisional,yes
F035XH006NM,F035XH006NM,Abies lasiocarpa-Picea engelmannii/Vaccinium ,Provisional,yes
F035XH804AZ,F035XH804AZ,"Shallow Sandy Loam 17-25"" p.z.(PIPO)",Provisional,yes
F035XH808AZ,F035XH808AZ,"Loamy Upland 17-25"" p.z.(PIPO)",Provisional,yes
F035XH811AZ,F035XH811AZ,"Sandy Loam Upland 17-25"" p.z.(PIPO)",Provisional,yes
F035XH812AZ,F035XH812AZ,"Sandy Upland 17-25"" p.z.(PIPO)",Provisional,yes
F035XH817AZ,F035XH817AZ,"Loamy Slopes 17-25"" p.z.Cobbly (PIPO)",Provisional,yes
F035XH818AZ,F035XH818AZ,"Sandy Loam Slopes 17-25"" p.z.Cobbly (PIPO, POTR5)",Provisional,yes
F035XH826AZ,F035XH826AZ,"Sandstone Upland 17-25"" p.z.(PIPO)",Provisional,yes
F035XH827AZ,F035XH827AZ,"Sandstone Hills 17-25"" p.z.(PIPO)",Provisional,yes
F036XA001NM,F036XA001NM,Pinyon Upland (Formerly South Of Gallup 13-16) ,Provisional,yes
F036XA005NM,F036XA005NM,Riverine Riparian ,Provisional,yes
F036XA136NM,F036XA136NM,Pinyon-Juniper-Apache Plume ,Provisional,yes
F036XB133NM,F036XB133NM,Pinyon-Juniper/Skunkbush Sumac ,Provisional,yes
F039XA001NM,F039XA001NM,Pseudotsuga menziesii-Populus tremuloides/Quercus gambelii-Robinia neomexicana/Poa fendleriana ,Provisional,yes
F039XA002NM,F039XA002NM,Pinus ponderosa-Pseudotsuga menziesii/Quercus gambelii-Cercocarpus montanus/Poa fendleriana ,Provisional,yes
F039XA003NM,F039XA003NM,Pinus edulis-Juniperus scopulorum/Quercus gambelii/Bouteloua gracilis ,Provisional,yes
F039XA004NM,F039XA004NM,Pinus ponderosa-Juniperus deppeana/Quercus gambelii/Festuca arizonica ,Provisional,yes
F039XA007NM,F039XA007NM,"Montane slopes 12-18""",Provisional,yes
F039XB101NM,F039XB101NM,Pinus edulis-Juniperus scopulorum/Quercus gambelii ,Provisional,yes
F039XB102NM,F039XB102NM,Juniperus monosperma-Pinus edulis/Bouteloua gracilis ,Provisional,yes
F039XB103NM,F039XB103NM,Mesa Hills/Slopes 43818,Provisional,yes
F039XB104NM,F039XB104NM,Pinus ponderosa-Juniperus scopulorum/Quercus gambelii-Symphoricarpos albus/Festuca arizonica-Poa fendleriana ,Provisional,yes
F039XB105NM,F039XB105NM,Pseudotsuga menziesii-Pinus ponderosa/Symphoricarpos albus ,Provisional,yes
F039XB107NM,F039XB107NM,Shallow Hills 13-16 inches,Provisional,yes
F041XA112AZ,F041XA112AZ,"Sandy Wash 16-20"" p.z.woodland",Provisional,yes
F041XA113AZ,F041XA113AZ,"Sandy Bottom 16-20"" p.z.woodland",Provisional,yes
F041XB218AZ,F041XB218AZ,"Sandy Bottom 8-12"" pz.woodland",Provisional,yes
